date,weighted_ili_National,weighted_ili_Region 1,weighted_ili_Region 2,weighted_ili_Region 3,weighted_ili_Region 4,weighted_ili_Region 5,weighted_ili_Region 6,weighted_ili_Region 7,weighted_ili_Region 8,weighted_ili_Region 9,weighted_ili_Region 10,unweighted_ili_National,unweighted_ili_Region 1,unweighted_ili_Region 2,unweighted_ili_Region 3,unweighted_ili_Region 4,unweighted_ili_Region 5,unweighted_ili_Region 6,unweighted_ili_Region 7,unweighted_ili_Region 8,unweighted_ili_Region 9,unweighted_ili_Region 10
9/28/1997,1.10148,0.498535,0.374963,1.35428,0.400338,1.22926,1.01898,0.871791,0.516017,1.80761,4.74352,1.21686,0.623848,0.384615,1.34172,0.45001,0.901266,0.747384,1.15286,0.422654,2.25878,4.8254
10/5/1997,1.20007,0.642669,0.315666,1.47978,1.42389,1.136,1.44932,0.449154,0.50308,1.39478,3.98637,1.28064,0.815801,0.229358,1.53285,0.389036,1.08131,0.877193,0.647948,0.717703,2.56626,3.95913
10/12/1997,1.37876,2.89908,0.310564,2.63598,0.966721,1.02358,1.4623,0.346781,0.176081,2.07269,2.24082,1.23906,1.22584,0.127226,2.18735,0.467532,1.0645,0.89955,0.607477,0.246711,2.41531,2.17597
10/19/1997,1.1992,4.8125,0.325144,1.98399,0.574446,0.806177,1.64702,0.647388,0.796463,1.31691,0.609287,1.14473,1.62169,0.223714,1.69761,0.169525,1.00162,1.059,0.688172,0.417537,2.64035,0.609418
10/26/1997,1.65618,1.37136,3.75806,0.750464,1.22455,1.09617,2.46072,0.492672,0.186496,2.24784,1.21454,1.26112,0.780165,2.8866,1.05062,0.474247,1.34967,1.69492,0.500835,0.345871,3.15138,1.11465
11/2/1997,1.41326,0.928766,4.45375,0.122297,1.05409,1.14296,2.68891,0.616256,0.111352,0.224589,4.14224,1.28275,0.834461,2.70636,0.149254,0.569188,1.53762,1.92308,0.5,0.273438,2.21369,2.85205
11/9/1997,1.9868,0.633391,3.62935,1.97044,1.1385,1.45385,2.956,0.720112,1.56709,2.60273,3.04974,1.44579,0.607441,1.9802,1.76715,0.649827,1.34282,2.118,0.85048,1.57824,2.86071,2.89781
11/16/1997,2.44749,0.812671,7.56716,1.97065,1.25262,1.43349,3.41822,0.766084,3.216,2.31456,1.35945,1.64796,0.707471,3.05344,1.81569,0.717915,1.64575,2.61137,0.933076,2.16867,3.0167,1.26183
11/23/1997,1.73901,1.22797,0.40265,1.98579,1.05024,2.03415,3.85026,0.667747,0.773458,2.36077,1.17213,1.67517,1.0518,0.195313,1.94394,0.694364,2.0698,2.44821,0.576497,0.643863,2.8256,1.14478
11/30/1997,1.93919,1.71588,1.71911,1.77506,1.22195,1.34182,3.36631,0.69962,7.4479,2.28604,1.03086,1.61739,1.2047,0.958904,1.68067,0.703183,1.78038,2.7027,0.858369,3.4201,2.19199,1.0396
12/7/1997,2.28166,1.23053,1.81569,2.12021,2.51906,1.76054,3.19316,1.60936,1.40537,3.47037,1.17532,1.76632,1.00219,1.25523,1.90972,1.1042,1.97979,2.54873,1.53974,1.7663,2.62136,1.29432
12/14/1997,2.50761,1.22154,3.60656,2.1289,3.03245,1.669,3.861,1.66342,1.32044,2.95297,2.54745,2.10398,0.910094,3.60656,2.25327,1.14499,1.88777,3.861,1.20946,1.16171,3.96673,2.54707
12/21/1997,4.11352,1.07721,3.51987,3.40614,4.80589,2.53506,5.27238,0.953705,3.28615,7.90666,2.54746,3.13655,1.25144,2.25873,3.394,3.17759,3.34864,4.62633,1.12486,2.20167,4.29129,3.01811
12/28/1997,5.62372,3.24726,1.41355,4.19421,3.9262,3.81833,6.59701,2.30995,1.62761,15.9426,2.69546,3.7185,2.678,0.765697,3.94584,2.01119,4.08676,6.79887,3.21608,1.37979,5.39574,2.9792
1/4/1998,4.37398,3.26437,2.03693,5.05135,3.31603,2.76375,7.27426,1.56189,1.6744,8.99298,3.34526,3.59225,1.92531,1.94805,4.81198,2.692,2.78982,7.33591,2.44068,1.45985,6.84864,3.28638
1/11/1998,4.19434,2.15486,1.92308,6.04283,3.88534,3.41414,6.48192,2.92685,4.83527,5.63842,3.86847,3.68922,1.84365,1.0355,6.3337,2.51392,2.8105,6.09418,3.96748,3.9845,6.44766,3.97314
1/18/1998,5.42123,4.19507,7.3615,5.42543,2.94869,4.49932,5.62791,6.96129,9.37904,6.67666,7.90212,4.60396,3.06924,4.42225,5.78822,2.09077,4.0867,4.34193,8.39955,7.14063,6.73456,6.67367
1/25/1998,5.66137,4.28226,7.05708,5.19632,4.38035,6.15695,6.06346,8.2188,8.29849,4.79764,5.2888,4.91007,4.36508,4.74968,4.93323,2.54439,5.20015,4,9.94371,6.74088,5.67218,4.98789
2/1/1998,5.97802,5.03228,8.10663,4.75381,3.73236,6.54296,10.3737,8.12636,5.78398,4.33191,5.05283,4.82687,6.01561,5.07614,4.90347,2.1992,4.91323,6.66667,10.19,4.57466,4.34522,5.08965
2/8/1998,4.7358,3.60087,3.65924,6.13278,2.85373,5.36765,9.65896,4.46488,4.08614,3.68601,4.89052,3.9459,5.61518,1.83333,5.4102,2.55652,4.03371,6.28492,6.26263,3.49243,3.09422,4.34139
2/15/1998,3.44581,3.25056,0.353382,3.4307,2.36918,3.88996,6.32876,2.60365,2.19656,4.77553,4.17196,3.1081,5.12469,1.01626,3.91598,1.7301,3.21936,4.6729,3.10396,1.98696,2.81143,3.94456
2/22/1998,2.47799,1.35401,0.716497,2.24142,2.10114,2.33768,5.0068,2.10151,2.07961,3.35501,2.53366,2.13953,2.58802,2.11132,2.41877,1.10686,2.22645,4.03338,2.61087,1.91445,2.31527,2.40832
3/1/1998,1.65732,0.664226,1.83647,2.26006,1.70601,1.02118,2.67351,1.26723,1.84056,1.52452,2.89543,1.43954,1.57886,1.1254,2.08623,0.816197,1.30722,2.32558,1.68675,1.91571,1.50912,2.76498
3/8/1998,1.96952,0.456624,2.56172,2.39205,1.36966,2.21214,2.81254,0.550836,1.008,2.13712,2.64696,1.47879,0.652103,1.69252,2.26996,0.73986,2.02236,2.42424,0.760746,1.06916,1.56712,2.44716
3/15/1998,1.58545,0.230781,3.45004,2.14617,1.24687,1.76995,1.64111,1.02869,1.07433,0.720646,2.18053,1.08556,0.332502,2.12164,1.85185,0.61246,1.43726,1.25984,1.19469,0.867888,1.03473,1.93939
3/22/1998,1.80474,0.179348,7.03319,1.96565,1.72774,1.11101,0.245826,0.100841,0,1.50724,1.65979,0.997967,0.31635,3.5,1.90597,0.569638,0.994273,0.482315,0.166945,0,1.64384,1.35886
3/29/1998,1.04624,0.170639,3.0554,1.9682,0.732376,0.90138,0.0794589,0.260315,0.922618,0.741921,1.62918,0.744205,0.257022,2.8481,1.70543,0.404585,0.839236,0.162075,0.433912,0.916335,0.860744,1.46444
4/5/1998,1.4004,0.128423,5.39271,1.86457,0.86099,0.819698,0,0.343053,0.991915,1.33856,1.86898,0.856631,0.243309,3.15236,1.84922,0.360293,1.07088,0,0.548589,1,0.966931,1.68492
4/12/1998,0.79687,0.0579647,0.834407,1.34234,0.962144,0.502436,0.44252,0.75535,0.496365,0.986764,2.05778,0.621737,0.116306,0.534759,1.27137,0.257566,0.619943,0.372439,0.964785,0.478645,0.901713,1.91083
4/19/1998,0.717097,0.0797064,0.786997,2.07928,0.793252,0.367887,0.440135,0.20365,0.778692,0.754942,1.06224,0.670954,0.149105,0.714286,2.04778,0.357055,0.720288,0.327332,0.45106,1.47783,0.749415,0.967742
4/26/1998,1.00238,0.0895798,2.50322,0.833416,1.28777,0.390993,0,0.258614,0.345387,1.55385,1.63201,0.694082,0.069029,2.54958,0.825309,0.509814,0.814754,0,0.631988,0.421687,1.05797,1.4658
5/3/1998,0.908403,0.165814,3.46279,0.818995,1.05137,0.291887,0,0.23264,0.156882,0.859656,0.933428,0.583457,0.128932,0.787402,0.724329,0.454316,0.732407,0,0.590446,0.234742,0.782881,0.841751
5/10/1998,0.443014,0.0603559,0.629598,0.937783,0.37225,0.376638,0,0.383958,0,0.517266,1.24599,0.57764,0.103842,0.480769,0.809544,0.288628,0.596405,0,0.592353,0,1.18272,1.1209
5/17/1998,0.638986,0.0278373,0.672386,1.07869,0.527434,0.232133,0,0.365207,0,1.52958,1.29269,0.605216,0.0561798,0.462963,1.00719,0.332937,0.60952,0,0.187617,0,1.60643,1.10076
5/24/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
